nickname,team,conference,rating,lat,long,coords,score,wins,losses
Wisc,Wisconsin,BIG TEN-WEST,78.22,43.0699380264687,-89.4127464294433,"(43.0699,-89.4127)",0,,
WKU,Western Kentucky,CONF-USA,70.72,36.9848766298946,-86.459013971646,"(36.9849,-86.459)",0,,
WMU,Western Michigan,MAC-WEST,60.86,42.2857554874701,-85.6010042130947,"(42.2858,-85.601)",0,,
Woff,Wofford,SOUTHERN,41.09,34.9618610164783,-81.9334982124616,"(34.9619,-81.9335)",0,,
Word,Incarnate Word,SOUTHLAND,76.41,29.4672834309754,-98.4698613211319,"(29.4673,-98.4699)",0,,
WSU,Washington State,PAC-12 NORTH,75.7,46.731967978653,-117.160585787811,"(46.732,-117.1606)",0,,
WVU,West Virginia,BIG 12,74.44,39.6522199248281,-79.9551753012939,"(39.6522,-79.9552)",0,,
Wyo,Wyoming,MWC-MOUNTAIN,62.76,41.3119359929924,-105.569064617156,"(41.3119,-105.5691)",0,,
Yale,Yale,IVY LEAGUE,52.62,41.3121251231602,-72.960229121659,"(41.3121,-72.9602)",0,,
YoSt,Youngstown State,MISSOURI VALLEY,55.53,41.1094614636735,-80.6499762946883,"(41.1095,-80.65)",0,,
